Year,World,Africa,Asia and Oceania,Central and South America,Eurasia,Europe,Middle East,North America,EU28,OECD,OPEC,Persian Gulf,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burma,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Croatia,Cuba,Cyprus,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Lithuania,Malaysia,Malta,Mauritius,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Norway,NZ,Oman,Pakistan,Panama,Paraguay,Peru,Poland,Portugal,Qatar,Romania,Russian Federation & USSR,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sudan,Suriname,Sweden,Tajikistan,Thailand,Togo,Tunisia,Turkey,Ukraine,United Kingdom,United States of America,Uruguay,Uzbekistan,Yemen,Zambia,Zimbabwe
1910,0.567320434,0,0,0,0,0,0,0.567320434,0,0.567320434,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.013939867,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.553380567,,,,,
1911,0.597475215,0,0,0,0,0,0,0.597475215,0,0.597475215,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.014263722,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.583211493,,,,,
1912,0.627629996,0,0,0,0,0,0,0.627629996,0,0.627629996,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.014587578,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.613042418,,,,,
1913,0.657784776,0,0,0,0,0,0,0.657784776,0,0.657784776,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.014911433,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.642873343,,,,,
1914,0.687939557,0,0,0,0,0,0,0.687939557,0,0.687939557,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.015235289,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.672704268,,,,,
1915,0.718094338,0,0,0,0,0,0,0.718094338,0,0.718094338,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.015559144,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.702535193,,,,,
1916,0.748249118,0,0,0,0,0,0,0.748249118,0,0.748249118,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.015883,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.732366118,,,,,
1917,0.778403899,0,0,0,0,0,0,0.778403899,0,0.778403899,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.016206855,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.762197044,,,,,
1918,0.80855868,0,0,0,0,0,0,0.80855868,0,0.80855868,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.016530711,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.792027969,,,,,
1919,0.83871346,0,0,0,0,0,0,0.83871346,0,0.83871346,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.016854566,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.821858894,,,,,
1920,0.868868241,0,0,0,0,0,0,0.868868241,0,0.868868241,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.017178422,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.851689819,,,,,
1921,0.899023022,0,0,0,0,0,0,0.899023022,0,0.899023022,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.017502277,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.881520744,,,,,
1922,0.959710092,0,0.005944969,0,0.000781634,0.023805688,0,0.929177802,0.023805688,0.944572254,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.017826133,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0.004725772,0,0,0,0,,,0.001219196,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0.012443111,,0,0.009630432,0.000781634,,,,,,,0.001732144,,,,,0,,0,0,0,0,0.91135167,,,,,
1923,1.124447242,0,0.007709006,0,0.002580632,0.02701106,0,1.087146544,0.02701106,1.103174109,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.019663661,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0.006503356,0,0,0,0,,,0.00120565,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0.012772211,,0,0.012189145,0.002580632,,,,,,,0.002049704,,,,,0,,0,0,0,0,1.067482883,,,,,
1924,1.289184391,0,0.009473043,0,0.00437963,0.030216433,0,1.245115285,0.030216433,1.261775963,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.021501189,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0.008280941,0,0,0,0,,,0.001192103,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0.013101311,,0,0.014747858,0.00437963,,,,,,,0.002367264,,,,,0,,0,0,0,0,1.223614096,,,,,
1925,1.453921541,0,0.011237081,0,0.006178628,0.033421806,0,1.403084026,0.033421806,1.420377817,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.023338716,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0.010058525,0,0,0,0,,,0.001178556,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0.013430411,,0,0.017306571,0.006178628,,,,,,,0.002684824,,,,,0,,0,0,0,0,1.379745309,,,,,
1926,1.61865869,0,0.013001118,0,0.007977626,0.036627179,0,1.561052767,0.036627179,1.578979671,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.025176244,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0.011836109,0,0,0,0,,,0.00116501,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0.013759511,,0,0.019865284,0.007977626,,,,,,,0.003002383,,,,,0,,0,0,0,0,1.535876523,,,,,
1927,1.78339584,0,0.014765156,0,0.009776625,0.039832551,0,1.719021508,0.039832551,1.737581526,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.027013772,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0.013613693,0,0,0,0,,,0.001151463,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0.014088611,,0,0.022423997,0.009776625,,,,,,,0.003319943,,,,,0,,0,0,0,0,1.692007736,,,,,
1928,1.94813299,0,0.016529193,0,0.011575623,0.043037924,0,1.87699025,0.043037924,1.89618338,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.0288513,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0.015391277,0,0,0,0,,,0.001137916,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0.014417711,,0,0.02498271,0.011575623,,,,,,,0.003637503,,,,,0,,0,0,0,0,1.848138949,,,,,
1929,2.06858174,0,0.022154583,0.016183406,0.019156229,0.049797852,0,1.961289671,0.049797852,1.98115452,0,0,0,0,0,0.010386395,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.029808786,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0.017934812,0,0,0,0,,,0.001228227,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0.014671936,,0,0.03116123,0.019156229,,,,,,,0.003964686,,,,,0,,0,0,0,0,1.931480885,,,,,
1930,2.168638223,0,0.021796885,0.017957632,0.026736835,0.05655778,0,2.045589092,0.05655778,2.06612566,0,0,0,0,0,0.011549556,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.030766272,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0.020478347,0,0,0,0,,,0.001318538,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0.014926162,,0,0.037339749,0.026736835,,,,,,,0.004291869,,,,,0,,0,0,0,0,2.01482282,,,,,
1931,2.27168625,0,0.024430731,0.019731858,0.034317441,0.063317708,0,2.129888513,0.063317708,2.1510968,0,0,0,0,0,0.012712716,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.031723758,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0.023021882,0,0,0,0,,,0.001408849,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0.015180387,,0,0.043518269,0.034317441,,,,,,,0.004619051,,,,,0,,0,0,0,0,2.098164755,,,,,
1932,2.374734277,0,0.027064576,0.021506084,0.041898047,0.070077635,0,2.214187934,0.070077635,2.23606794,0,0,0,0,0,0.013875877,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.032681243,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0.025565417,0,0,0,0,,,0.00149916,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0.015434612,,0,0.049696789,0.041898047,,,,,,,0.004946234,,,,,0,,0,0,0,0,2.18150669,,,,,
1933,2.477782304,0,0.029698422,0.02328031,0.049478653,0.076837563,0,2.298487355,0.076837563,2.32103908,0,0,0,0,0,0.015039037,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.033638729,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0.028108952,0,0,0,0,,,0.001589471,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0.015688838,,0,0.055875308,0.049478653,,,,,,,0.005273417,,,,,0,,0,0,0,0,2.264848626,,,,,
1934,2.58083033,0,0.032332268,0.025054536,0.05705926,0.083597491,0,2.382786776,0.083597491,2.40601022,0,0,0,0,0,0.016202197,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.034596215,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0.030652487,0,0,0,0,,,0.001679781,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0.015943063,,0,0.062053828,0.05705926,,,,,,,0.0056006,,,,,0,,0,0,0,0,2.348190561,,,,,
1935,2.683878357,0,0.034966114,0.026828762,0.064639866,0.090357419,0,2.467086197,0.090357419,2.49098136,0,0,0,0,0,0.017365358,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.035553701,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0.033196022,0,0,0,0,,,0.001770092,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0.016197288,,0,0.068232348,0.064639866,,,,,,,0.005927783,,,,,0,,0,0,0,0,2.431532496,,,,,
1936,2.786926384,0,0.03759996,0.028602987,0.072220472,0.097117347,0,2.551385618,0.097117347,2.5759525,0,0,0,0,0,0.018528518,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.036511187,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0.035739557,0,0,0,0,,,0.001860403,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0.016451514,,0,0.074410868,0.072220472,,,,,,,0.006254965,,,,,0,,0,0,0,0,2.514874432,,,,,
1937,2.989877347,0,0.044898618,0.086937746,0.079801078,0.103877275,0,2.674362631,0.103877275,2.699601232,0.033457273,0,0,0,0,0.019691679,,0,0,,0,0,,0,,0,,0,0.003017296,0,0,,,0.037468672,0,0,0.023103259,,,,,0,,0.001734228,0,,,,,,0,,,0,,,0,,,,0,,0,0.038283092,0,0,0,0,,,0.001950714,,,,,0,,,,0,,0,,,0.038677591,,,0,,,,0,,,0,0,,0,0,,,0,0.016705739,,0,0.080589387,0.079801078,,,,,,,0.006582148,,,,,0,,0,0,0,0,2.598216367,,,,,
1938,3.175013928,0,0.001896527,0.089074476,0.086442896,0.099784982,0,2.897815046,0.099784982,2.92189793,0.034061135,0,0,0,0,0.019931926,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.039669951,0,0,0.023650825,,,,,0,,0.001859478,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0.001896527,,,,,0,,,,0,,0,,,0.038871256,,,0,,,,0,,,0,0,,0,0,,,0,0.015368444,,0,0.077598625,0.086442896,,,,,,,0.006817912,,,,,0,,0,0,0,0,2.819273839,,,,,
1939,3.403098414,0,0.001842341,0.091211207,0.093084715,0.095692689,0,3.121267461,0.095692689,3.144194628,0.034664998,0,0,0,0,0.020172173,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.04187123,0,0,0.024198391,,,,,0,,0.001984728,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0.001842341,,,,,0,,,,0,,0,,,0.039064921,,,0,,,,0,,,0,0,,0,0,,,0,0.014031149,,0,0.074607864,0.093084715,,,,,,,0.007053676,,,,,0,,0,0,0,0,3.040331311,,,,,
1940,3.631182899,0,0.001788154,0.093347937,0.099726534,0.091600397,0,3.344719877,0.091600397,3.366491326,0.03526886,0,0,0,0,0.02041242,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.044072508,0,0,0.024745957,,,,,0,,0.002109978,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0.001788154,,,,,0,,,,0,,0,,,0.039258585,,,0,,,,0,,,0,0,,0,0,,,0,0.012693854,,0,0.071617102,0.099726534,,,,,,,0.007289441,,,,,0,,0,0,0,0,3.261388783,,,,,
1941,3.859267385,0,0.001733968,0.095484668,0.106368352,0.087508104,0,3.568172292,0.087508104,3.588788024,0.035872723,0,0,0,0,0.020652667,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.046273787,0,0,0.025293523,,,,,0,,0.002235228,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0.001733968,,,,,0,,,,0,,0,,,0.03945225,,,0,,,,0,,,0,0,,0,0,,,0,0.011356559,,0,0.06862634,0.106368352,,,,,,,0.007525205,,,,,0,,0,0,0,0,3.482446255,,,,,
1942,4.08735187,0,0.001679781,0.097621399,0.113010171,0.083415812,0,3.791624707,0.083415812,3.811084722,0.036476585,0,0,0,0,0.020892914,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.048475066,0,0,0.025841088,,,,,0,,0.002360478,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0.001679781,,,,,0,,,,0,,0,,,0.039645915,,,0,,,,0,,,0,0,,0,0,,,0,0.010019264,,0,0.065635579,0.113010171,,,,,,,0.007760969,,,,,0,,0,0,0,0,3.703503727,,,,,
1943,4.315436355,0,0.001625595,0.099758129,0.119651989,0.079323519,0,4.015077123,0.079323519,4.03338142,0.037080448,0,0,0,0,0.021133161,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.050676344,0,0,0.026388654,,,,,0,,0.002485727,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0.001625595,,,,,0,,,,0,,0,,,0.039839579,,,0,,,,0,,,0,0,,0,0,,,0,0.008681969,,0,0.062644817,0.119651989,,,,,,,0.007996733,,,,,0,,0,0,0,0,3.924561199,,,,,
1944,4.543520841,0,0.001571408,0.10189486,0.126293808,0.075231227,0,4.238529538,0.075231227,4.255678118,0.03768431,0,0,0,0,0.021373408,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.052877623,0,0,0.02693622,,,,,0,,0.002610977,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0.001571408,,,,,0,,,,0,,0,,,0.040033244,,,0,,,,0,,,0,0,,0,0,,,0,0.007344675,,0,0.059654055,0.126293808,,,,,,,0.008232497,,,,,0,,0,0,0,0,4.145618671,,,,,
1945,4.771605326,0,0.001517222,0.104031591,0.132935626,0.071138934,0,4.461981953,0.071138934,4.477974816,0.038288173,0,0,0,0,0.021613655,,0,0,,0,0,,0,,0,,0,0,0,0,,,0.055078902,0,0,0.027483786,,,,,0,,0.002736227,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0.001517222,,,,,0,,,,0,,0,,,0.040226908,,,0,,,,0,,,0,0,,0,0,,,0,0.00600738,,0,0.056663294,0.132935626,,,,,,,0.008468261,,,,,0,,0,0,0,0,4.366676143,,,,,
1946,5.02699017,0.003033337,0.004390617,0.106543605,0.139577445,0.088010798,0,4.685434369,0.087773562,4.720998435,0.041925372,0,0,0.003033337,0,0.021853902,,0,0.001840074,,0,0,,0,,0,,0.000375284,0.001280065,0,0,,,0.05728018,0,0,0.028031352,,,,,0,,0.002861477,0,,,,,,0.004237553,,,0.008447753,,,0,,,,0.003745642,,0,0,0,0,0,0.002455899,,,0.001463035,,,,,0,,,,0,,0,,,0.040420573,,,0,,,,0,,,0,0,,0,0,,,0,0.004670085,,0,0.053672532,0.139577445,,,,,,,0.008704025,,,,,0,,0,0,0,0,4.587733616,,,,,
1947,5.56156041,0.003033337,0.004765588,0.120042194,0.170842793,0.08890326,0,5.173973239,0.088428789,5.216600423,0.057418571,0,0,0.003033337,0,0.022510292,,0,0.002120086,,0,0,,0,,0,,4.16982E-05,0.001142915,0,0,,,0.062982853,0,0,0.025454276,,,,,0,,0.003771947,0,,,,,,0.011171731,,,0.006045181,,,0,,,,0.00415725,,0,0.001040537,0,0,0,0.003607101,,,0.001584955,,,,,0,,,,0,,0,,,0.049342979,,,0,,,,3.51659E-05,,,0,0,,0,0,,,0,0.004638742,,0,0.04738656,0.170842793,,,,,,,0.009266972,,,,,0,,0,0,0,0,5.061647407,,,,,
1948,6.287665357,0.003121259,0.020540446,0.110774033,0.188708706,0.156437603,0,5.80808331,0.15608175,5.871706342,0.060528879,0,0,0.003121259,0,0.017259177,,0,0.00964039,,0,0,,0,,0,,0.000125095,0.001645798,0,0,,,0.069445882,0,0,0.015778938,,,,,0,,0.004595705,0,,,,,,0.01379131,,,0.005192655,,,0,,,,0.013171487,,0,0.015998257,0,0,0,0.00448969,,,0.002072633,,,,,0,,,,0,,0,,,0.051749953,,,0,,,,0.000210995,,,0,0,,0,0,,,0,0.004920827,,0,0.094531351,0.188708706,,,,,,,0.010133044,,,,,0,,0,0,0,0,5.686887474,,,,,
1949,6.718713009,0.003165221,0.028804095,0.123177156,0.195036216,0.256113154,0,6.112417166,0.25579684,6.180545773,0.056754353,0,0,0.003165221,0,0.025637794,,0,0.002160087,,0,0,,0,,0,,0.000208491,0,0,0,,,0.07231834,0.000165607,0,0.022334658,,,,,0,,0.004725772,0,,,,,,0.018799327,,,0.004185125,,,0,,,,0.015311853,,0,0.025623224,0,0,0,0.009554981,,,0.002357113,,,,,0,,,,0,,0,,,0.052704443,,,0,,,,0.000246161,,,0,0,,0,0,,,0,0.004262628,,0,0.190190954,0.195036216,,,,,,,0.011085723,,,,,0,,0,0,0,0,5.987394384,,,,,
