Year,World,North America,Middle East,Europe,Eurasia,Central and South America,EU28,Asia and Oceania,Africa,OECD,Persian Gulf,OPEC,Afghanistan,Albania,Algeria,American Samoa,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Croatia,Cuba,Cyprus,Czechia,Czechoslovakia,Czech republic,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong Special Administrative Region (China),Hungary,Iceland,Inde,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macao Special Administrative Region (China),Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Niger,Nigeria,Nicaragua,Northern Mariana Islands,Niue,North Korea,Norway,Oman,Pakistan,Palestinian Territories,Papua New Guinea,Paraguay,Panama,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation & USSR,Rwanda,Saint Helena,Peru,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,United States Virgin Islands,Uruguay,U.S. Pacific Islands,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Western Sahara,Yemen,Reunion,Yugoslavia,Zambia,Zimbabwe
1921,26.12884608,12.83459647,0,10.83954116,0.203803585,0.054708497,10.21443026,1.911511864,0.284684501,24.13379506,0,0.007238977,0,0,0.000263768,,,,0,,,0.307522654,0.0384459,,,,,,,0.583284691,,,,,,,0,0.006756867,,,0.014404685,,0,0,,,0.452774988,,,,,0.036844049,0.279357112,0,,,,,,,,,0.576803843,,8.79228E-05,0,,,,,,,,,,,,,,,0.839967539,,,,,,3.55225172,,,0.000970785,0,,,,,,,,,,,0.079493758,,0,0.449213983,0.035520811,0,,0.002637684,,0.012373244,,,0.725709003,,,,,,,,,,,,,,,,,,0,,0.008762972,,,,,,,0.015380335,,0,,,0,0,,,0,0.125728725,,,0.038125553,0,0.006330442,,,,0.009114664,0.003240849,,0,,,,,0.000771523,0.710228069,0.004190987,,,0.021580651,0.203803585,,,0.010462813,,,,,,,,,,,,,,,,,0.262444283,0,,0.130467265,,,,0,0.010264489,,,0.030421289,,0,0,,,,,0.000259519,0.009311552,,,,,,4.088140072,12.36644114,,,,,,0.000644767,0.0269923,,,,0.035754657,0,0.015298567
1922,27.57820978,12.10809151,0,12.97950196,0.247522699,0.046748948,12.40927851,1.953114559,0.243230103,25.62295243,0,0.004249602,0,0,0.000263768,,,,0,,,0.293518398,0.0483838,,,,,,,0.568723356,,,,,,,0,0.006824436,,,0.015840758,,0,0,,,0.458738513,,,,,0.03042885,0.294214307,0,,,,,,,,,0.509870135,,0.000879228,0,,,,,,,,,,,,,,,0.926243252,,,,,,3.370372857,,,0.000758246,0,,,,,,,,,,,0.089820482,,0,0.442411528,0.030509212,0,,0,,0.012306979,,,0.766801555,,,,,,,,,,,,,,,,,,0,,0.008264743,,,,,,,0.001946083,,0,,,0,0,,,0,0.142938001,,,0.038781575,0,0.003370374,,,,0.009290509,0.006184373,,0,,,,,0.00083087,0.828816583,0.003985834,,,0.025481786,0.247522699,,,0.008880203,,,,,,,,,,,,,,,,,0.225000776,0,,0.114608396,,,,0,0.010318942,,,0.039477337,,0,0,,,,,0,0.011190199,,,,,,6.250679237,11.64740692,,,,,,0.00061546,0.029014524,,,,0.042978745,0,0.013715957
1923,32.12259221,16.60182932,0,12.8100977,0.278547461,0.050307682,12.21966329,2.085191661,0.29661838,29.97548561,0,0.007180362,0,0,0.00011723,,,,0,,,0.301158479,0.041904622,,,,,,,0.614713575,,,,,,,0,0.007410031,,,0.016690678,,0,0,,,0.509040041,,,,,0.03363645,0.355170657,0,,,,,,,,,0.519319052,,0.001787764,0,,,,,,,,,,,,,,,1.11970272,,,,,,2.18151062,,,0.00068357,0,,,,,,,,,,,0.097474572,,0,0.457436479,0.033879586,0,,0,,0.013517266,,,0.801101632,,,,,,,,,,,,,,,,,,0,,0.009319817,,,,,,,0.026408141,,0,,,0,0,,,0,0.164585327,,,0.041809856,0,0.005216753,,,,0.011136888,0.006838489,,0,,,,,0.000850653,0.858439533,0.00427891,,,0.030115611,0.278547461,,,0.007414823,,,,,,,,,,,,,,,,,0.273073094,0,,0.152979312,,,,0,0.011435239,,,0.042349482,,0,0,,,,,1.12834E-05,0.016254376,,,,,,6.911631735,16.06638114,,,,,,0.001846379,0.030978133,,,,0.048022496,0,0.016412256
1924,31.27994599,14.40439489,0,13.89758009,0.371660344,0.058791939,13.18829283,2.234719886,0.312798842,28.8284011,0,0.007766514,0,0,0.000263768,,,,0,,,0.331003434,0.043702643,,,,,,,0.626485998,,,,,,,0,0.008310947,,,0.018976671,,0,0,,,0.419586637,,,,,0.044472935,0.387647229,0,,,,,,,,,0.625548463,,0.002373916,0,,,,,,,,,,,,,,,1.307007591,,,,,,3.25116777,,,0.000752502,0,,,,,,,,,,,0.089898162,,0,0.492822988,0.042408097,0,,0,,0.011797481,,,0.833450335,,,,,,,,,,,,,,,,,,0,,0.010931735,,,,,,,0.025675744,,0,,,0,0,,,0,0.183276102,,,0.043471113,0,0.006008058,,,,0.011693732,0.007908861,,0,,,,,0.000929784,0.767082469,0.00378068,,,0.032680026,0.371660344,,,0.00451337,,,,,,,,,,,,,,,,,0.286832309,0,,0.157178681,,,,0,0.011925321,,,0.044137246,,0,0,,,,,0,0.0270634,,,,,,6.682580737,13.95913251,,,,,,0.001494688,0.036224194,,,,0.048766528,0,0.017320792
1925,31.35935818,14.64945698,0,13.68255346,0.377926352,0.055681802,13.03650044,2.265236909,0.328502675,28.95949875,0,0.009290509,0,0,0.000293076,,,,0,,,0.334979508,0.046241854,,,,,,,0.619379638,,,,,,,0,0.008828973,,,0.018756864,,0,0,,,0.407209568,,,,,0.041987768,0.366993636,0,,,,,,,,,0.562145632,,0.001904994,0,,,,,,,,,,,,,,,1.397761505,,,,,,3.635283345,,,0.000815689,0,,,,,,,,,,,0.080836296,,0,0.486455707,0.041059948,0,,0,,0.015264746,,,0.870607975,,,,,,,,,,,,,,,,,,0,,0.011957501,,,,,,,0.03023753,,0,,,0,0,,,0,0.210929142,,,0.044556945,0,0.007121747,,,,0.018610326,0.008503512,,0,,,,,0.000949566,0.690938686,0.003414335,,,0.03449358,0.377926352,,,0.002989375,,,,,,,,,,,,,,,,,0.298989922,0,,0.156703224,,,,0,0.007187865,,,0.049119538,,0,0,,,,,0,0.026156066,,,,,,6.118493667,14.21200988,,,,,,0.001875686,0.039946259,,,,0.049247817,0,0.020192936
1926,31.21850716,16.58689977,0,11.40469414,0.590892226,0.05725861,10.70379878,2.226145098,0.35261732,28.56275885,0,0.011224811,0,0,0.000410306,,,,0,,,0.327285999,0.045649899,,,,,,,0.676579134,,,,,,,0,0.008018149,,,0.018610326,,0,0,,,0.495576613,,,,,0.043085865,0.326795507,0,,,,,,,,,0.611217413,,0.002637684,0,,,,,,,,,,,,,,,1.524833397,,,,,,3.858607667,,,0.000878876,0,,,,,,,,,,,0.084923958,,0,0.488677384,0.042964942,0,,0.002344608,,0.016588219,,,0.869646686,,,,,,,,,,,,,,,,,,0,,0.013393573,,,,,,,0.027391645,,0,,,0,0,,,0,0.26154791,,,0.046513286,0,0.009671508,,,,0.020017091,0.006779024,,0,,,,,0.000553914,0.849271823,0.006374403,,,0.035849936,0.590892226,,,0.0050116,,,,,,,,,,,,,,,,,0.314253672,0,,0.166632463,,,,0,0.010455076,,,0.052489912,,0,0,,,,,0,0.033209702,,,,,,3.144651085,16.06393151,,,,,,0.001142996,0.037806804,,,,0.049689219,0,0.02564415
1927,33.64089526,15.14609922,0,14.97110969,0.742671494,0.055803986,14.241729,2.378993156,0.346217713,30.73355455,0,0.011810963,0,0,0.00061546,,,,0,,,0.337936118,0.047677721,,,,,,,0.738820124,,,,,,,0,0.007702829,,,0.019137863,,0,0,,,0.524477189,,,,,0.042825789,0.370258034,0,,,,,,,,,0.62625441,,0.002549761,0,,,,,,,,,,,,,,,1.536925713,,,,,,4.104004803,,,0.000821433,0,,,,,,,,,,,0.08939328,,0,0.513871663,0.047478312,0,,0,,0.005172425,,,0.92793833,,,,,,,,,,,,,,,,,,0,,0.01318842,,,,,,,0.021574321,,0,,,0,0.000468922,,,0,0.280338477,,,0.048966347,0,0.010667966,,,,0.020779088,0.009484687,,0,,,,,0.000455,0.904767815,0.005627059,,,0.038495533,0.742671494,,,0.004747831,,,,,,,,,,,,,,,,,0.305274995,0,,0.168042158,,,,0,0.010836251,,,0.054424213,,0,0,,,,,0,0.036208455,,,,,,6.291668349,14.60004771,,,,,,0.000527537,0.043697632,,,,0.057433137,0,0.026640608
1928,33.04413036,14.61846349,0,14.81760544,0.817740377,0.056343817,14.0847187,2.381735996,0.352241245,30.01207752,0,0.01172304,0,0,0.000498229,,,,0,,,0.298889631,0.051201271,,,,,,,0.739544168,,,,,,,0,0.007319939,,,0.021995354,,0,0,,,0.528552045,,,,,0.039762676,0.376242763,0.00293076,,,,,,,,,0.628826108,,0.002872145,0,,,,,,,,,,,,,,,1.524253107,,,,,,4.194452922,,,0.000695059,0,,,,,,,,,,,0.092598447,,0,0.524613587,0.04994015,0,,0,,0.009930822,,,0.936726287,,,,,,,,,,,,,,,,,,0,,0.016588102,,,,,,,0.021406916,,0,,,0,0.000175846,,,0,0.322261827,,,0.050244363,0,0.010697274,,,,0.023915002,0.008176454,,0,,,,,0.000534131,0.964840189,0.006271826,,,0.037100491,0.817740377,,,0.005802905,,,,,,,,,,,,,,,,,0.305905929,0,,0.163272083,,,,0,0.009774407,,,0.046423238,,0,0,,,,,0,0.03419177,,,,,,5.946526723,14.06850453,,,,,,0.000527537,0.057618742,,,,0.06169241,0,0.032091822
1929,35.14169725,15.41836761,0,15.97046018,0.922312267,0.061942741,15.14972621,2.408514775,0.360099668,31.86102439,0,0.011312734,0,0,0.000468922,,,,0,,,0.264934784,0.05501293,,,,,,,0.722435271,,,,,,,0,0.008401038,,,0.025365728,,0,0,,,0.528662212,,,,,0.043577119,0.39453176,0.00293076,,,,,,,,,0.705180568,,0.00304799,0,,,,,,,,,,,,,,,1.597211446,,,,,,4.500206569,,,0.000901853,0,,,,,,,,,,,0.099843197,,0,0.544998048,0.053691523,0,,0.002549761,,0.013408476,,,0.947632964,,,,,,,,,,,,,,,,,,0,,0.019694707,,,,,,,0.02205561,,0,,,0,0,,,0,0.341182813,,,0.05256894,0,0.010286968,,,,0.027490529,0.007462873,,0,,,,,0.000336305,1.098254246,0.006198557,,,0.036744404,0.922312267,,,0.00647698,,,,,,,,,,,,,,,,,0.315903807,0,,0.181320348,,,,0,0.01075457,,,0.044840628,,0,0,,,,,0,0.038864017,,,,,,6.458336039,14.86764979,,,,,,0.000556844,0.057794587,,,,0.069226515,0,0.030391981
1930,32.11200364,13.5896281,0,14.68982733,1.095445596,0.059426566,13.96689983,2.338714769,0.338961268,28.76053143,0,0.011136888,0,0,0.000498229,,,,0,,,0.245813275,0.048836148,,,,,,,0.735173086,,,,,,,0,0.008671313,,,0.024383923,,0,0,,,0.450882758,,,,,0.041669897,0.41625256,0.00293076,,,,,,,,,0.609434646,,0.003927218,0,,,,,,,,,,,,,,,1.600007391,,,,,,3.872909219,,,0.000746758,0,,,,,,,,,,,0.088991003,,0,0.553930565,0.05483452,0,,0,,0.011843524,,,0.867928455,,,,,,,,,,,,,,,,,,0,,0.01685187,,,,,,,0.027077761,,0,,,2.93076E-05,0,,,0,0.359499917,,,0.052620961,0,0.01037489,,,,0.025907918,0.005589721,,0,,,,,0.000415435,0.89084436,0.00671144,,,0.028792665,1.095445596,,,0.005890828,,,,,,,,,,,,,,,,,0.296611786,0,,0.180242355,,,,0,0.010836251,,,0.046862852,,0,0,,,,,0,0.043557776,,,,,,6.107081786,13.11166759,,,,,,0.000263768,0.057296358,,,,0.064345363,0,0.027519836
1931,28.32002366,11.14281136,0,13.38094227,1.292448997,0.04707501,12.71077675,2.162425393,0.294320635,24.9302854,0,0.010404198,0,0,0.00061546,,,,0,,,0.22215577,0.04806379,,,,,,,0.725170549,,,,,,,0,0.011126308,,,0.023577964,,0,0,,,0.336120204,,,,,0.031787023,0.441384238,0,,,,,,,,,0.559786546,,0.002520454,0,,,,,,,,,,,,,,,1.483855511,,,,,,3.326123744,,,0.00060315,0,,,,,,,,,,,0.087600607,,0,0.505351416,0.04114787,0,,0.002725607,,0.010120427,,,0.774209711,,,,,,,,,,,,,,,,,,0,,0.011986808,,,,,,,0.019293428,,0,,,0.000175846,0,,,0,0.380602268,,,0.046121473,0,0.009759431,,,,0.027431914,0.007225012,,0,,,,,0.00037587,0.908739288,0.006271826,,,0.024195182,1.292448997,,,0.004132372,,,,,,,,,,,,,,,,,0.264045884,0,,0.178314091,,,,0,0.009338779,,,0.041675407,,0,0,,,,,0,0.042971448,,,,,,5.495473967,10.78739773,,,,,,2.93076E-05,0.050584918,,,,0.060182512,0,0.017203561
1932,25.17995356,9.121537258,0,12.18720707,1.464783107,0.044329753,11.60123149,2.098779661,0.263316711,21.80359171,0,0.008264743,0,0,0.00073269,,,,0,,,0.230557585,0.049551649,,,,,,,0.57451571,,,,,,,0,0.012184884,,,0.027241414,,0,0,,,0.326305221,,,,,0.031353564,0.422969686,0,,,,,,,,,0.47937036,,0.000498229,0,,,,,,,,,,,,,,,1.373752719,,,,,,2.980594731,,,0.000792712,0,,,,,,,,,,,0.08736515,,0,0.468980039,0.03077298,0,,0.002403223,,0.010782603,,,0.775936075,,,,,,,,,,,,,,,,,,0,,0.008264743,,,,,,,0.014459608,,0,,,0.000439614,0.000556844,,,0,0.37524689,,,0.038671158,0,0.007502746,,,,0.03235559,0.007611535,,0,,,,,0.000356087,0.684808709,0.005685674,,,0.019668917,1.464783107,,,0.000761998,,,,,,,,,,,,,,,,,0.240749859,0,,0.172521737,,,,0,0.009066511,,,0.039711798,,0,0,,,,,0,0.043603378,,,,,,5.227233139,8.780772429,,,,,,2.93076E-05,0.050203919,,,,0.055390309,0,0.012836729
1933,26.36161183,9.702168834,0,12.31508148,1.728341987,0.062657275,11.74494553,2.269986484,0.283375771,22.68922684,0,0.008030282,0,0,0.000879228,,,,0,,,0.2423718,0.048844119,,,,,,,0.678456286,,,,,,,0,0.014549787,,,0.024222731,,0,0,,,0.331359565,,,,,0.044444038,0.461933203,0.002637684,,,,,,,,,0.458352591,,0,0,,,,,,,,,,,,,,,1.393365365,,,,,,3.106789066,,,0.000568685,0,,,,,,,,,,,0.085501186,,0,0.460528504,0.030333366,0,,0.003135913,,0.013159347,,,0.899513255,,,,,,,,,,,,,,,,,,0,,0.006506287,,,,,,,0.01353888,,0,,,0.000820613,0.000468922,,,0,0.369608255,,,0.038797416,0,0.007004516,,,,0.038129188,0.008771105,,0,,,,,0.000316522,0.649294931,0.006257173,,,0.018423344,1.728341987,,,0.000879228,,,,,,,,,,,,,,,,,0.260017613,0,,0.151203242,,,,0,0.009502139,,,0.044928551,,0,0,,,,,0,0.050860937,,,,,,5.186613743,9.357270389,,,,,,0.000146538,0.046628392,,,,0.052151321,0,0.014184878
1934,28.76544318,10.57017218,0,13.1394009,2.12624629,0.077268359,12.54959824,2.527022562,0.325332882,24.48946774,0,0.00890951,0,0,0.000996458,,,,0,,,0.254409868,0.046919958,,,,,,,0.707659405,,,,,,,0,0.016464233,,,0.025292459,,0,0,,,0.381779657,,,,,0.052246307,0.539902087,0.007356208,,,,,,,,,0.463640151,,0.000146538,0,,,,,,,,,,,,,,,1.414003777,,,,,,3.473488424,,,0.000580173,0,,,,,,,,,,,0.088346778,,0,0.513299065,0.030274751,0,,0.003311759,,0.016104394,,,0.993544126,,,,,,,,,,,,,,,,,,0,,0.009583585,,,,,,,0.01636384,,0,,,0.001055074,0.000644767,,,0,0.362723167,,,0.044818984,0,0.007737206,,,,0.049500536,0.009336024,,0,,,,,0.000455,0.694195347,0.00616925,,,0.022388662,2.12624629,,,0.001025766,,,,,,,,,,,,,,,,,0.295908052,0,,0.149550323,,,,0,0.011299106,,,0.04457686,,0,0,,,,,0,0.063023122,,,,,,5.527565261,10.17202869,,,,,,0.000175846,0.046657699,,,,0.053803361,0,0.018844787
1935,30.00454378,10.78655528,0,13.56948613,2.462246538,0.087422812,12.97233451,2.737960569,0.36087245,25.21022182,0,0.008821588,0,0,0.001113689,,,,0,,,0.282039373,0.048878292,,,,,,,0.71079693,,,,,,,0,0.018919228,,,0.025673458,,0,0,,,0.384036782,,,,,0.054904858,0.629714875,0.011078273,,,,,,,,,0.468455756,,0.000322384,0,,,,,,,,,,,,,,,1.370294423,,,,,,3.887850468,,,0.000534219,0,,,,,,,,,,,0.095804698,,0,0.535630358,0.032560744,0,,0.003370374,,0.020041314,,,1.044131754,,,,,,,,,,,,,,,,,,0,,0.011224811,,,,,,,0.026261661,,0,,,0.001553303,0.000439614,,,0,0.349086047,,,0.046238132,0,0.007678591,,,,0.057120512,0.009187361,,0,,,,,0.000474783,0.677792469,0.00647698,,,0.024269917,2.462246538,,,0.002491146,,,,,,,,,,,,,,,,,0.329396088,0,,0.174348773,,,,0,0.011544146,,,0.046804237,,0,0,,,,,0,0.064773928,,,,,,5.565572002,10.37625684,,,,,,2.93076E-05,0.05202099,,,,0.054734581,0,0.020368782
1936,32.96003368,12.51495004,0,14.16608021,2.835135295,0.083423995,13.5241896,2.968332607,0.392111539,27.61937959,0,0.009085356,0,0,0.000205153,,,,0,,,0.301366974,0.047353154,,,,,,,0.747294124,,,,,,,0,0.014910154,,,0.026083764,,0,0,,,0.421279019,,,,,0.054182426,0.707160619,0.011517887,,,,,,,,,0.512365692,,0.000410306,0,,,,,,,,,,,,,,,1.342077065,,,,,,4.290888583,,,0.000608895,0,,,,,,,,,,,0.100606118,,0,0.526193955,0.033615817,0,,0.003722065,,0.035002667,,,1.155753925,,,,,,,,,,,,,,,,,,0,,0.014976184,,,,,,,0.027370719,,0,,,0.00146538,0.000498229,,,0,0.376229428,,,0.046612844,0,0.008704357,,,,0.066879943,0.009187361,,0,,,,,0.000593479,0.706368258,0.006667479,,,0.024757888,2.835135295,,,0.002637684,,,,,,,,,,,,,,,,,0.360166255,0,,0.083385485,,,,0,0.012415403,,,0.051112454,,0,0,,,,,0,0.06397808,,,,,,5.72072922,12.0663003,,,,,,0.000175846,0.064066414,,,,0.056359482,0,0.020661858
1937,34.62773263,12.62104227,0,15.52477564,2.856001676,0.086778441,14.73935479,3.117059797,0.422074808,29.05641001,0,0.011429964,0,0,0.000410306,,,,0,,,0.321563046,0.051730464,,,,,,,0.8007125,,,,,,,0,0.017184966,,,0.028897294,,0,0,,,0.43786822,,,,,0.056580901,0.656792636,0.009905969,,,,,,,,,0.649966529,,0.001055074,0,,,,,,,,,,,,,,,1.317593496,,,,,,4.971361174,,,0.000752502,0,,,,,,,,,,,0.113717899,,0,0.582629139,0.040239335,0,,0.003751373,,0.046583551,,,1.25130542,,,,,,,,,,,,,,,,,,0,,0.018698249,,,,,,,0.025989628,,0,,,0.003135913,0.000556844,,,0,0.42132767,,,0.049191165,0,0.010814504,,,,0.071246776,0.00883057,,0,,,,,0.000514348,0.859943013,0.007927706,,,0.027062638,2.856001676,,,0.002901452,,,,,,,,,,,,,,,,,0.375915338,0,,0.055245881,,,,0,0.01252431,,,0.057237743,,0,0,,,,,0,0.064501778,,,,,,6.020223321,12.15718443,,,,,,0.000205153,0.067641941,,,,0.062121972,0,0.030186828
1938,32.30777849,10.0664916,0,15.46732354,2.978076622,0.091501492,14.7116089,3.261806721,0.442578522,26.5663901,0,0.011342041,0,0,0.000380999,,,,0,,,0.315614424,0.053002502,,,,,,,0.793364792,,,,,,,0,0.020360693,,,0.032736589,,0,0,,,0.396437853,,,,,0.059066068,0.601590833,0.009700816,,,,,,,,,0.603500531,,0.001230919,0,,,,,,,,,,,,,,,1.381525095,,,,,,5.096999016,,,0.000620383,0,,,,,,,,,,,0.118855301,,0,0.659586207,0.042701173,0,,0.003516912,,0.055128489,,,1.346142909,,,,,,,,,,,,,,,,,,0,,0.014243494,,,,,,,0.02287171,,0,,,0.004132372,0.000293076,,,0,0.397230375,,,0.047740175,0,0.010785197,,,,0.100202684,0.008890035,,0,,,,,0.000811088,0.904644723,0.009290509,,,0.029044125,2.978076622,,,0.00219807,,,,,,,,,,,,,,,,,0.395158826,0,,0.13927036,,,,0,0.011734734,,,0.064447412,,0,0,,,,,0,0.072616701,,,,,,5.684645,9.647182033,,,,,,0.000175846,0.068726322,,,,0.070707369,0,0.030597134
1939,34.12731392,11.36077501,0.00219807,15.42235479,3.255597364,0.090547662,14.54267487,3.538856696,0.456984321,27.79826401,0.00219807,0.011898886,0,0,0.000556844,,,,2.47063E-05,,,0.359007344,0.055387715,,,,,,,0.800310253,,,,,,,0,0.023581466,,,0.036077656,,0,0,,,0.432595064,,,,,0.053459993,0.725868129,0.010228352,,,,,,,,,0.72127088,,0.000791305,0,,,,,,,,,,,,,,,1.459758802,,,,,,5.038376225,,,0.000798456,0,,,,,,,,,,,0.134759657,,0,0.646233239,0.052196836,0.00219807,,0.003516912,,0.076970389,,,1.41363985,,,,,,,,,,,,,,,,,,0,,0.013129805,,,,,,,0.018351774,,0,,,0.003370374,0.000556844,,,0,0.379147879,,,0.050220815,0,0.009056048,,,,0.124234916,0.009276559,,0,,,,,0.000929784,0.550421346,0.009275855,,,0.02945619,3.255597364,,,0.003165221,,,,,,,,,,,,,,,,,0.409864441,0,,0.162888945,,,,0,0.012088682,,,0.076756604,,0,0,,,,,2.25669E-05,0.074743407,,,,,,5.793439911,10.90982817,,,,,,8.79228E-05,0.076639374,,,,0.074389078,0,0.032765897
1940,37.63991748,13.02086483,0.002696299,16.40816245,3.67103932,0.104875107,15.42500241,3.953305842,0.478973638,30.45229359,0.002696299,0.013686649,0,0,0.001611918,,,,2.47063E-05,,,0.321579517,0.056834148,,,,,,,0.684865419,,,,,,,0,0.030090582,,,0.043668324,,0,0,,,0.484621549,,,,,0.056002955,0.927716721,0.015298567,,,,,,,,,0.812757894,,0.000703382,0.002086408,,,,,,,,,,,,,,,1.179033025,,,,,,5.123739534,,,0.001436072,0,,,,,,,,,,,0.144280304,,0,0.683910137,0.058878968,0.002696299,,0.003458297,,0.096820426,,,1.558132986,,,,,,,,,,,,,,,,,,0,,0.023270234,,,,,,,0.017075311,,0,,,0.004190987,0.000586152,,,0,0.358186204,,,0.05378415,0,0.009231894,,,,0.168254932,0.007998059,,0,,,,,0.001246306,1.829742927,0.011752348,,,0.031770904,3.67103932,,,0.003311759,,,,,,,,,,,,,,,,,0.424497257,0,,0.226609528,,,,0,0.013558927,,,0.083262892,,0,0,,,,,0.000315936,0.084367905,,,,,,5.61715962,12.51916797,,,,,,0.000146538,0.073269,,,,0.078036174,0,0.037836112
1941,39.01683,14.46501728,0.002637684,16.123726,3.542989902,0.106651851,15.2171533,4.261074914,0.514732368,31.75843772,0.002637684,0.016089872,0,0,0.002344608,,,,2.47063E-05,,,0.38390078,0.055706992,,,,,,,0.716589284,,,,,,,0,0.03171223,,,0.047024044,,0,0,,,0.505743713,,,,,0.059528425,1.159760992,0.011781655,,,,,,,,,0.817428778,,0.000908536,0.009231894,,,,,,,,,,,,,,,1.261803549,,,,,,5.205285703,,,0.001033972,0,,,,,,,,,,,0.155549398,,0,0.685673737,0.058322124,0.002637684,,0.004542678,,0.098642817,,,1.563123191,,,,,,,,,,,,,,,,,,0,,0.020456705,,,,,,,0.017912336,,0,,,0.004103064,0.000498229,,,0,0.393677707,,,0.056551359,0,0.010931735,,,,0.180476201,0.004340954,,0,,,,,0,1.812318387,0.013979725,,,0.028956495,3.542989902,,,0.003428989,,,,,,,,,,,,,,,,,0.453277555,0,,0.230133562,,,,0,0.015165306,,,0.084552426,,0,0,,,,,0.001286311,0.084802977,,,,,,5.167511782,13.94136123,,,,,,0.000175846,0.0682574,,,,0,0,0.041382331
1942,39.6855865,16.25399988,0.002403223,16.39316235,2.172132774,0.123805428,15.43916654,4.174578222,0.56550462,33.69531805,0.002403223,0.020720473,0,0,0.004337525,,,,9.88252E-05,,,0.403946416,0.055483405,,,,,,,0.671886255,,,,,,,0,0.039978131,,,0.056973974,,0,0,,,0.522407179,,,,,0.062158079,1.221512515,0.016939793,,,,,,,,,0.881782113,,0.001230919,0.016617409,,,,,,,,,,,,,,,1.261492888,,,,,,5.302576209,,,0.002096666,0,,,,,,,,,,,0.158120217,,0,0.684940813,0,0.002403223,,0.004894369,,0.104977786,,,1.494446105,,,,,,,,,,,,,,,,,,0,,0.007297592,,,,,,,0.019126023,,0,,,0.003458297,0.000205153,,,0,0.364533351,,,0.057606432,0,0.013715957,,,,0.200669137,0,,0,,,,,0,1.993424408,0.016177795,,,0.031245125,2.172132774,,,0.004366832,,,,,,,,,,,,,,,,,0.495234667,0,,0.250185412,,,,0,0.015845975,,,0.067729864,,0,0,,,,,0.001602246,0.072213692,,,,,,5.132635299,15.71246668,,,,,,0.000263768,0.036429347,,,,0,0,0.045719856
1943,40.78585132,16.42587573,0.002022224,16.52740335,3.17131385,0.132435769,15.46241036,3.951273433,0.575526969,33.9461255,0.002022224,0.020837704,0,0,0.003428989,,,,0.000222357,,,0.388431823,0.058695752,,,,,,,0.636542169,,,,,,,0,0.046802567,,,0.061824382,,0,0,,,0.501466752,,,,,0.06545237,1.055886183,0.014155571,,,,,,,,,0.9726754,,0.002051532,0.024002924,,,,,,,,,,,,,,,1.215931293,,,,,,5.400226758,,,0.002125387,0,,,,,,,,,,,0.154708358,,0,0.593691717,0,0.002022224,,0.005451214,,0.060137481,,,1.547047972,,,,,,,,,,,,,,,,,,0,,0.014565877,,,,,,,0.02205561,,0,,,0.003077298,0.000380999,,,0,0.370578629,,,0.060566778,0,0.015064106,,,,0.193078469,0,,0,,,,,0,2.169094162,0.013041882,,,0.034152732,3.17131385,,,0.005480521,,,,,,,,,,,,,,,,,0.498923204,0,,0.258297081,,,,0,0.015192532,,,0.068110862,,0,0,,,,,0.00046262,0.092317592,,,,,,4.982407618,15.90235336,,,,,,0.000322384,0.029893752,,,,0,0,0.05213822
